test_file	pre_sha256	post_sha256	changed
tests/unit/test_w28a295_multiprofile_load.py	6c1566beb2a4	6c1566beb2a4	N
tests/unit/test_w28d443_tb_profile_durability.py	109c8f6c5234	109c8f6c5234	N
tests/unit/UT1_40/test_ut1_40_tool_registry.py	360dbd99d8bd	360dbd99d8bd	N
tests/unit/UT1_40/test_ut1_40_database_abstraction.py	d34bf9599a0d	d34bf9599a0d	N
tests/unit/UT1_18/test_ut1_18_dedupe_hash_detection.py	64b8fcbe1036	64b8fcbe1036	N
tests/unit/UT1_32/test_ut1_32_support_module_paths.py	52f84380bd9e	52f84380bd9e	N
tests/unit/UT1_33/test_ut1_33_service_branch_paths.py	7af3ff29a87d	7af3ff29a87d	N
tests/unit/UT1_14/test_ut1_14_convert_office_extract.py	2f054b152550	2f054b152550	N
tests/unit/UT1_48/test_ut1_48_admin_empty_state_hint.py	f274d5d34455	f274d5d34455	N
tests/unit/UT1_8/test_ut1_8_audit_redaction.py	5b832251feae	5b832251feae	N
tests/unit/UT1_44/test_ut1_44_admin_config_crud.py	71d091a7fc1d	71d091a7fc1d	N
tests/unit/UT1_17/test_ut1_17_metadata_enrichment.py	817e7f1d59ce	817e7f1d59ce	N
tests/unit/UT1_9/test_ut1_9_connector_filesystem_resolve.py	d8a6c45dd856	d8a6c45dd856	N
tests/unit/UT_Bootstrap/test_bootstrap_seed_apply.py	0b0fd6757e47	0b0fd6757e47	N
tests/unit/UT1_15/test_ut1_15_chunking_token_strategy.py	c13c18bfb303	c13c18bfb303	N
tests/unit/UT1_10/test_ut1_10_connector_s3_resolve.py	2ff31d840da9	2ff31d840da9	N
tests/unit/UT1_29/test_ut1_29_tool_definition_schemas.py	f86446bd0b33	f86446bd0b33	N
tests/unit/UT1_12/test_ut1_12_convert_registry_selection.py	de69ff921d54	de69ff921d54	N
tests/unit/UT_W28E603_Structure/test_ut_w28e603_structure.py	5afe443f439f	5afe443f439f	N
tests/unit/UT1_46_JobLifecycleSimulation/test_job_lifecycle.py	01f216ca6862	01f216ca6862	N
tests/unit/UT1_45/test_w28d314_resource_pool_and_job_types.py	7360e077eb77	7360e077eb77	N
tests/unit/UT1_45/test_ut1_45_jobs_migration.py	bb673089b223	bb673089b223	N
tests/unit/UT1_42/test_ut1_42_connector_gdrive.py	825e754a8c34	825e754a8c34	N
tests/unit/UT_AuditLogFormat/test_audit_log_format.py	0e5c7d217d4c	0e5c7d217d4c	N
tests/unit/UT1_39/test_ut1_39_runtime_config_loader_paths.py	6cb7f8d8d55b	6cb7f8d8d55b	N
tests/unit/UT1_21/test_ut1_21_dedupe_policy_replace.py	de8af9364793	de8af9364793	N
tests/unit/UT1_47/test_ut1_47_core_metadata.py	fabf55557d45	fabf55557d45	N
tests/unit/UT1_30/test_ut1_30_pipeline_progress_events.py	3f43f039b1ce	3f43f039b1ce	N
tests/unit/UT1_20/test_ut1_20_dedupe_policy_skip.py	d8f307c5184d	d8f307c5184d	N
tests/unit/UT1_31/test_ut1_31_server_runtime_paths.py	9964c6438498	86630289d4b0	Y
tests/unit/UT1_19/test_ut1_19_dedupe_size_mtime_detection.py	d78f4f1734cd	d78f4f1734cd	N
tests/unit/UT1_3/test_ut1_3_config_validation.py	410f31e3a50e	410f31e3a50e	N
tests/unit/UT1_22/test_ut1_22_dedupe_policy_version.py	aa40f7e35626	aa40f7e35626	N
tests/unit/UT1_41/test_ut1_41_connector_ftp.py	ff743a92bac5	ff743a92bac5	N
tests/unit/UT_W28D440E1/test_ingest_text_robustness.py	f072517c690d	f072517c690d	N
tests/unit/UT1_24/test_ut1_24_vdb_registry_lookup.py	5497e7b4ad56	5497e7b4ad56	N
tests/unit/UT1_1/test_ut1_1_config_loader_precedence.py	4d28fb72249c	4d28fb72249c	N
tests/unit/UT1_7/test_ut1_7_audit_event_shape.py	633712ad158f	633712ad158f	N
tests/unit/UT1_5/test_ut1_5_rbac_policy_eval.py	68c10f7d8040	68c10f7d8040	N
tests/unit/UT1_46/test_ut1_46_w28c427r5_connector_matrix.py	7dd237483347	7dd237483347	N
tests/unit/UT1_2/test_ut1_2_config_vault_integration.py	3e559edfdd43	3e559edfdd43	N
tests/unit/UT1_16/test_ut1_16_chunking_overlap.py	3eb97a318714	3eb97a318714	N
tests/unit/UT1_11/test_ut1_11_connector_webdav_resolve.py	0314a3394508	0314a3394508	N
tests/unit/UT1_4/test_ut1_4_profile_model_validation.py	bcae03eedf47	bcae03eedf47	N
tests/unit/UT1_25/test_ut1_25_search_query_normalisation.py	04eef540a9ff	04eef540a9ff	N
tests/unit/UT1_26/test_ut1_26_search_filter_validation.py	6ab86baace25	6ab86baace25	N
tests/unit/UT1_6/test_ut1_6_connector_scope_enforcement.py	f2538afec355	f2538afec355	N
tests/unit/UT1_28/test_ut1_28_idempotency_key_generation.py	a48f0a6b650c	a48f0a6b650c	N
tests/unit/UT1_43/test_ut1_43_embedding_dimension_validation.py	850d23321321	850d23321321	N
tests/unit/UT1_13/test_ut1_13_convert_pdf_extract.py	63f9d3c73080	63f9d3c73080	N
tests/unit/UT1_35/test_ut1_35_coverage_closure.py	0fedfb74c903	0fedfb74c903	N
tests/unit/UT1_37/test_ut1_37_mcp_vdb041_dispatch.py	b288c1ad8543	b288c1ad8543	N
tests/unit/UT1_27/test_ut1_27_job_model_validation.py	bf13520574fb	bf13520574fb	N
tests/unit/UT1_38/test_ut1_38_a2a_auth_contract.py	361ee4f4995e	361ee4f4995e	N
tests/unit/UT_W28E603_Phase25/test_ut_w28e603_phase25.py	f1f27eb7f649	f1f27eb7f649	N
tests/unit/UT1_36/test_ut1_36_service_vdb041_branches.py	43b7b8a87652	43b7b8a87652	N
tests/unit/UT1_23/test_ut1_23_embedding_registry_lookup.py	9bcbcf6f7a7c	9bcbcf6f7a7c	N
tests/unit/UT1_34/test_ut1_34_service_and_adapter_branches.py	a35e8176835b	a35e8176835b	N
tests/contract/CT1_1/test_ct1_1_chroma_contract.py	87698b4c6173	87698b4c6173	N
tests/contract/CT1_2/test_ct1_2_qdrant_contract.py	857b86b5a218	857b86b5a218	N
tests/contract/CT1_3/test_ct1_3_backend_parity.py	f630f415f05a	f630f415f05a	N
tests/contract/CT1_4/test_ct1_4_infinity_contract.py	e712cbd697c1	e712cbd697c1	N
tests/application/AT1_3/test_at1_3.py	7a00276c1991	7a00276c1991	N
tests/application/AT2_5/test_at2_5_full_pipeline_e2e_per_backend.py	90fd8122ff84	90fd8122ff84	N
tests/application/AT_WEBUI_CollectionEdit/test_webui_collection_edit.py	c7095afe0252	c7095afe0252	N
tests/application/AT_WEBUI_CollectionCrud/test_webui_collection_crud.py	2ac6566ce150	2ac6566ce150	N
tests/application/AT2_1/test_at2_1_multi_backend_consistency_chroma_qdrant.py	f1dc2795ac27	f1dc2795ac27	N
tests/application/AT2_3/test_at2_3_multi_parser_quality_comparison.py	5ee6562975ed	5ee6562975ed	N
tests/application/AT_WEBUI_AuthDashboard/test_webui_auth_dashboard.py	56b2384bcf2e	56b2384bcf2e	N
tests/application/AT1_1/test_at1_1.py	e749ad3bc073	e749ad3bc073	N
tests/application/AT_WEBUI_ProfileCrud/test_webui_profile_crud.py	e49214084718	e49214084718	N
tests/application/AT2_6_DatabaseE2E/test_at2_6_database_e2e.py	35138c4fbbce	35138c4fbbce	N
tests/application/AT_WEBUI_SourceConfig/test_webui_source_config.py	f678df0a42a2	f678df0a42a2	N
tests/application/AT1_9/test_at1_9_no_fallback_backend_identity.py	dd31e3388ef2	dd31e3388ef2	N
tests/application/AT1_6/test_at1_6.py	1e81e4f5f22c	1e81e4f5f22c	N
tests/application/AT1_8/test_at1_8_a2a_flow.py	1db01bb21fde	1db01bb21fde	N
tests/application/AT1_8/test_at1_8_cross_backend_parity_fixture.py	a66787583b0e	a66787583b0e	N
tests/application/AT2_4/test_at2_4_multi_embedding_models.py	8ef948460f69	8ef948460f69	N
tests/application/AT1_7/test_at1_7.py	f589f9c45b8b	f589f9c45b8b	N
tests/application/AT1_4/test_at1_4.py	4c14f6ed7aa8	4c14f6ed7aa8	N
tests/application/AT1_2/test_at1_2.py	9228584e1a2b	9228584e1a2b	N
tests/application/AT_WEBUI_SecurityAdmin/test_webui_security_admin.py	5f78eb84552c	5f78eb84552c	N
tests/application/AT2_2/test_at2_2_multi_backend_consistency_pgvector_opensearch.py	8f7566cf8faa	8f7566cf8faa	N
tests/application/AT_WEBUI_FileUpload/test_webui_file_upload.py	d90cad038a1b	d90cad038a1b	N
tests/application/AT1_5/test_at1_5.py	80ab5e676b0a	80ab5e676b0a	N
tests/system/ST1_13/test_st1_13_no_fallback_backend_identity.py	e735a8571391	e735a8571391	N
tests/system/ST1_3/test_st1_3.py	c3d559cc251e	c3d559cc251e	N
tests/system/ST1_12/test_st1_12.py	d1eb10833de9	d1eb10833de9	N
tests/system/ST1_2/test_st1_2.py	e2ee7335e841	e2ee7335e841	N
tests/system/ST1_15/test_st1_15_e2e_gap_coverage.py	990a186a7b52	c4c99d0a91a3	Y
tests/system/ST1_14/test_st1_14_database_migration.py	0fafcd97ffef	0fafcd97ffef	N
tests/system/ST1_14/test_st1_14_database_migration_multibackend.py	9029e3e03cdc	9029e3e03cdc	N
tests/system/ST_IntegrityVerifier/test_integrity_running.py	c8235582be72	c8235582be72	N
tests/system/ST1_6/test_st1_6.py	903483bae552	903483bae552	N
tests/system/ST1_8/test_st1_8.py	99320fb68e0f	99320fb68e0f	N
tests/system/ST_W28E603_StructureBackendMatrix/test_st_w28e603_structure_backend_matrix.py	d87c215b2271	d87c215b2271	N
tests/system/ST1_5/test_st1_5.py	af0e59b7c033	af0e59b7c033	N
tests/system/ST1_1/test_st1_1.py	694f6ce1995c	694f6ce1995c	N
tests/system/ST1_11/test_st1_11.py	f4e8c22bce90	f4e8c22bce90	N
tests/system/ST1_10/test_st1_10.py	f7510e8a05e8	f7510e8a05e8	N
tests/system/ST_LogRotation/test_rotation_config.py	5a0730eea8c0	5a0730eea8c0	N
tests/system/ST1_7/test_st1_7.py	73970e2973c0	73970e2973c0	N
tests/system/ST1_4/test_st1_4.py	2e8b8cf0c650	2e8b8cf0c650	N
tests/system/ST1_9/test_st1_9.py	bcff58801a15	bcff58801a15	N
tests/quality/QT_LoggingCompliance/test_logging_compliance.py	a87446c01e1b	a87446c01e1b	N
tests/quality/QT_PACKAGE_COMPLIANCE/test_package_compliance.py	31895a4f1874	31895a4f1874	N
tests/quality/QT_COMPLIANCE/test_qt_package_adoption.py	5c7f03e9d6ca	5c7f03e9d6ca	N
tests/quality/QT_COMPLIANCE/test_qt_migration_completeness.py	a3c537d95060	a3c537d95060	N
tests/quality/QT_COMPLIANCE/test_qt_traceability.py	9cbb122226e7	9cbb122226e7	N
tests/quality/QT_COMPLIANCE/test_qt_rules_compliance.py	3d3926c150dc	3d3926c150dc	N
tests/quality/QT_COMPLIANCE/test_qt_vault_config_contract.py	6ac0252f1011	6ac0252f1011	N
tests/parser/PT1_3/test_pt1_3_parser_throughput_comparison.py	2c4a238e830f	2c4a238e830f	N
tests/parser/PT1_1/test_pt1_1_backend_ingest_baseline.py	4e7deae3ef88	4e7deae3ef88	N
tests/parser/PT1_2/test_pt1_2_backend_search_latency.py	e2567877c400	e2567877c400	N
tests/integration/IT1_21/test_it1_21_jobs_migration.py	fbec0d77c179	fbec0d77c179	N
tests/integration/IT1_21/test_it1_21_collection_rbac.py	472e977769df	472e977769df	N
tests/integration/IT2_5/test_it2_5_weaviate_contract.py	30e3184c2bd8	30e3184c2bd8	N
tests/integration/IT2_14/test_it2_14_table_extraction_matrix.py	e0edb98e0f7f	e0edb98e0f7f	N
tests/integration/IT1_11/test_it1_11.py	859f7338b9f9	859f7338b9f9	N
tests/integration/IT1_5/test_it1_5.py	6bd037d0f785	6bd037d0f785	N
tests/integration/IT1_14/test_it1_14.py	d7cc6ad0bfe9	d7cc6ad0bfe9	N
tests/integration/IT2_2/test_it2_2_qdrant_contract.py	5b83d427021f	5b83d427021f	N
tests/integration/IT2_11/test_it2_11_transformers_parser.py	a50eec35d849	a50eec35d849	N
tests/integration/IT1_1/test_it1_1.py	ea5423cf4dbd	ea5423cf4dbd	N
tests/integration/IT2_3/test_it2_3_opensearch_contract.py	d7b0d144aa54	d7b0d144aa54	N
tests/integration/IT1_10/test_it1_10.py	bff2f6a20748	bff2f6a20748	N
tests/integration/IT1_3/test_it1_3.py	86fe42bef03e	86fe42bef03e	N
tests/integration/IT1_9/test_it1_9.py	7bde7685c1bd	7bde7685c1bd	N
tests/integration/IT2_7/test_it2_7_deepdoc_parser.py	a2fd8d63f718	a2fd8d63f718	N
tests/integration/IT2_4/test_it2_4_pgvector_contract.py	3078ceeb8531	3078ceeb8531	N
tests/integration/IT1_13/test_it1_13.py	aa1646a389e3	aa1646a389e3	N
tests/integration/IT1_8/test_it1_8.py	4e5f686c3d42	4e5f686c3d42	N
tests/integration/IT1_12/test_it1_12.py	3fd6b311a83c	3fd6b311a83c	N
tests/integration/IT2_15_DatabaseStartup/test_it2_15_database_startup.py	2759d67da295	2759d67da295	N
tests/integration/IT1_22/test_it1_22_admin_rest_config_crud.py	e5e0dcb24ec6	e5e0dcb24ec6	N
tests/integration/IT1_18/test_it1_18_a2a_health_auth_matrix.py	14be3f2dab47	14be3f2dab47	N
tests/integration/IT2_9/test_it2_9_mineru_parser.py	16482d025fb2	16482d025fb2	N
tests/integration/IT_W28E603_Phase25/test_it_w28e603_phase25.py	4b6aa3e5dc95	4b6aa3e5dc95	N
tests/integration/IT_W28E603_Phase25/test_it_w28e603_a2a_skills.py	676d1c9c0b25	676d1c9c0b25	N
tests/integration/IT_W28E603_Phase25/test_it_w28e603_webui.py	7e6565879e61	7e6565879e61	N
tests/integration/IT1_23/test_it1_23_core_metadata.py	5ac0ea1c47d1	5ac0ea1c47d1	N
tests/integration/IT2_1/test_it2_1_chroma_contract.py	2780c1b2670b	2780c1b2670b	N
tests/integration/IT1_16/test_it1_16.py	7e1a07e261f8	7e1a07e261f8	N
tests/integration/IT1_4/test_it1_4.py	4407efc8f4dc	4407efc8f4dc	N
tests/integration/IT_W28E603_StructureTransports/test_it_w28e603_structure_transports.py	c1836ee6af1a	c1836ee6af1a	N
tests/integration/IT1_6/test_it1_6.py	523739303e71	523739303e71	N
tests/integration/IT1_15/test_it1_15.py	18142c7db275	18142c7db275	N
tests/integration/IT2_10/test_it2_10_marker_parser.py	bbc34cf328d3	bbc34cf328d3	N
tests/integration/IT2_16/test_it2_16_provenance_contract.py	084649525b3c	084649525b3c	N
tests/integration/IT1_20/test_it1_20_job_management_tools.py	4eb2ffcc5171	4eb2ffcc5171	N
tests/integration/IT2_8/test_it2_8_docling_parser.py	256f5ecfe22e	256f5ecfe22e	N
tests/integration/IT1_2/test_it1_2.py	44bbefc3b2c4	44bbefc3b2c4	N
tests/integration/IT2_13/test_it2_13_ocr_provider_matrix.py	6f051643a6fb	6f051643a6fb	N
tests/integration/IT1_24/test_it1_24_openapi_contract.py	5f206b4c1c42	5f206b4c1c42	N
tests/integration/IT1_7/test_it1_7.py	98e8f53b309c	98e8f53b309c	N
tests/integration/IT1_17/test_it1_17.py	9fc69f5051c5	9fc69f5051c5	N
tests/integration/IT2_12/test_it2_12_internal_parser.py	91586cff2c3a	91586cff2c3a	N
tests/integration/IT1_19/test_it1_19_no_fallback_backend_identity.py	ef90e5730abf	ef90e5730abf	N
tests/integration/IT2_6/test_it2_6_infinity_contract.py	7872255def70	7872255def70	N
tests/security/QT1_6/test_qt1_6.py	dee49807fdfe	dee49807fdfe	N
tests/security/QT1_1/test_qt1_1.py	c9515f061ee7	c9515f061ee7	N
tests/security/QT1_2/test_qt1_2.py	4fbc09cb733c	4fbc09cb733c	N
tests/security/QT1_4/test_qt1_4.py	f970fb51f7cd	f970fb51f7cd	N
tests/security/QT1_3/test_qt1_3.py	830987cc8ff3	830987cc8ff3	N
tests/security/QT1_5/test_qt1_5.py	231be2ee91ef	231be2ee91ef	N
