requirement_id	name	raw_artefact_path	observed_value	verification_command	result
P1.1	Canonical structure model + schema version (brief §6, §24-Phase1)	src/index_tools/structure/models.py	SCHEMA_VERSION=1.0; StructureDocument/Page/Block/Section/Style/Table/Figure/Relation/ExtractorRun + Bundle	pytest tests/unit/UT_W28E603_Structure::test_schema_version_constant	PASS
P1.2	cloud_dog_db persistence integration (brief §7.1)	src/index_tools/structure/repository.py	all CRUD via initialise_database()/session_manager.session(); no backend clients	pytest tests/unit/UT_W28E603_Structure::test_create_assigns_ids_and_persists	PASS
P1.3	Migrations through existing mechanism (brief §7.1)	database/migrations/cloud_dog_db/versions/20260604_0002_structure_foundation.py	9 tables, down_revision=20260305_0001; applied on initialise_database	pytest tests/system/ST_W28E603_StructureBackendMatrix (sqlite leg builds tables)	PASS
P1.4	Basic CRUD APIs under /api/v1/structure (brief §12, §24-Phase1)	src/index_server/api_server.py	7 routes: health, documents (POST/GET/GET{id}/DELETE), outline, pages, sections	pytest tests/integration/IT_W28E603_StructureTransports::test_structure_rest_crud_lifecycle	PASS
P1.5	Basic MCP listing/get tools (brief §13, §24-Phase1)	src/index_tools/tools/registry.py + src/index_server/mcp_server.py	8 structure_* tools registered + dispatched; RBAC read/write	pytest tests/integration/IT_W28E603_StructureTransports::test_structure_mcp_tools_call_real_execution	PASS
P1.6	Backend matrix smoke tests (brief §24-Phase1)	tests/system/ST_W28E603_StructureBackendMatrix/test_st_w28e603_structure_backend_matrix.py	sqlite PASS; postgresql/mysql SKIP (explicit reason, opt-in URL)	pytest tests/system/ST_W28E603_StructureBackendMatrix --env tests/env-ST -rs	PASS
HG.1	LOCAL ONLY — no preprod/Docker push/SSH	working/evidence/W28E-603-phase1/00-reading-proof.md	all work local in worktree; zero deploy/docker/ssh actions	manual: no docker/ssh/terraform invoked this lane	PASS
HG.2	MUST NOT break existing VDB indexing/search/retrieve (regression)	working/evidence/W28E-603-phase1/test-unit-regression-full.log	200 passed, 0 failed	pytest tests/unit --env tests/env-UT -q	PASS
HG.3	100% platform package reuse / zero bespoke (RULES §1.4, §6.88)	working/evidence/W28E-603-phase1/bespoke-grep.txt	NONE in all categories (NoSQL drivers/logging/cache/http/db/os.environ)	grep -rnE forbidden-patterns over structure+db+transports	PASS
HG.4	Canonical structure in cloud_dog_db; VDB derived-only	src/index_tools/structure/repository.py	canonical store = SQL tables via cloud_dog_db; zero VDB writes for structure	grep -rn cloud_dog_vdb src/index_tools/structure -> NONE	PASS
CG.1	Existing IR tests still pass (regression gate)	working/evidence/W28E-603-phase1/test-unit-regression-full.log	200 passed, 0 failed	pytest tests/unit --env tests/env-UT -q	PASS
CG.2	§1.4 bespoke grep zero	working/evidence/W28E-603-phase1/bespoke-grep.txt	zero matches across 6 forbidden-pattern categories	see bespoke-grep.txt	PASS
DOC.1	Docs/tests/implementation agree on tool names+routes (brief §25.15, FR-16A)	docs/MCP_DOCUMENTATION.md + docs/REQUIREMENTS.md + tests/unit/UT1_40	catalogue=77 tools incl structure family; count enforced; test asserts each structure tool	pytest tests/unit/UT1_40/test_ut1_40_tool_registry.py	PASS
AUDIT.1	Audit logs capture structure create + delete (brief §25.14)	src/index_tools/structure/service.py	log_admin_action(action=create/delete, target_type=structure_document)	pytest tests/unit/UT_W28E603_Structure::test_create_assigns_ids_and_audits, ::test_delete_removes_document_and_children	PASS
QG.1	Quality compliance tier fully green (RC-01..RC-10)	working/evidence/W28E-603-phase1/test-quality-full.log	47 passed, 0 failed (RC-01 + RC-09 + RC-04 all fixed)	pytest tests/quality --env tests/env-QT -q	PASS
RC09.1	s3/webdav/gdrive ingest fetch implemented via cloud_dog_storage (RULES §1.4)	src/index_tools/connectors/s3.py,webdav.py,gdrive.py	fetch() delegates to build_storage_backend; no NotImplementedError stub	pytest tests/unit/UT1_46 -q	PASS
RBAC.1	Collection-level RBAC enforced on search/retrieve/ingest/delete (FR-05)	src/index_server/mcp_server.py	_enforce_collection_permission checks per-collection allowed_roles; reader denied on writer/admin collection	pytest tests/integration/IT1_21 -q	PASS
RBAC.2	API-key resolves to the KEY's roles, not the owner user's (CFG-10)	src/index_tools/tools/service.py	admin_api_key_create registers key under key-scoped identity with key roles; admin-key can do admin ops	pytest tests/integration/IT1_22 -q	PASS
SUITE.1	Full pytest suite green across all 8 tiers (Vault-resolved live backends)	working/evidence/W28E-603-phase1/full-test-suite-results.md	unit200 quality47 integration51 system26(+2skip) application24 contract4 parser3 security6 = 0 failed	per-tier pytest (see doc)	PASS
SCOPE.1	Phase 1 of 6 only — full-lane §25 (15 criteria) NOT all met	working/evidence/W28E-603-phase1/close-gate.md	Phases 2-6 (providers/corpus/templates/WebUI/A2A/db-mcp/full-matrix) NOT delivered	manual scope review vs brief §24/§25	PASS (scoped)
