requirement	raw_artifact	observed_value	verification_command	status
Live Vault read proves `dev.external.HDRO.api-key` exists without exposing it.	evidence/W28D-440E5/current/00-hdro-vault-preflight.md	hdro_key_present=True; hdro_key_len=36; only sha256 prefix recorded	grep -E 'hdro_key_present|hdro_key_len|hdro_key_sha256_prefix' evidence/W28D-440E5/current/00-hdro-vault-preflight.md	PASS
Live HDRO probe returns HTTP 200 JSON from `hdrdata.org`.	evidence/W28D-440E5/current/00-hdro-vault-preflight.md	canonical_probe_status=200; canonical_probe_json=True; selected_hdro_host=hdrdata.org	grep -E 'selected_hdro_host|canonical_probe_status|canonical_probe_json' evidence/W28D-440E5/current/00-hdro-vault-preflight.md	PASS
Extractor retrieves HDI/GII metadata and at least one country/year value.	evidence/W28D-440E5/current/hdro-live-probe.json	record_count=10; sample records include HDI and GII values for AFG 2022	python -m pytest tests/integration/IT_W28D440E5/test_hdro_live.py --env tests/env-IT -q	PASS
Endpoint mismatch with `dev.external.HDRO.url=maptiler.com` is either corrected through approved config or explicitly bypassed by approved non-secret canonical endpoint config.	evidence/W28D-440E5/current/endpoint-config-proof.md	vault_url_used_as_hdro_endpoint=False; selected_endpoint_host=hdrdata.org	cat evidence/W28D-440E5/current/endpoint-config-proof.md	PASS
No secrets are committed, logged, displayed, or included in evidence.	evidence/W28D-440E5/current/secret-redaction-proof.txt	raw_key_hits=0	cat evidence/W28D-440E5/current/secret-redaction-proof.txt	PASS
Tests pass with real integration evidence.	evidence/W28D-440E5/current/ut.log; evidence/W28D-440E5/current/it.log	unit 10 passed; live integration 1 passed	python -m pytest tests/unit/UT_W28D440E5 tests/unit/UT1_40/test_ut1_40_tool_registry.py --env tests/env-UT -q && python -m pytest tests/integration/IT_W28D440E5/test_hdro_live.py --env tests/env-IT -q	PASS
Service repo is clean, pushed to `origin/main`, and tagged with two remote ancestor-proven anchors.	evidence/W28D-440E5/current/remote-proof.txt	origin/main and W28D-440E5 tags verified by live validator	git ls-remote origin refs/heads/main refs/tags/W28D-440E5-EVIDENCE refs/tags/W28D-440E5-FINAL-PROOF	PASS
Platform final evidence validator ends exactly `FINAL_EVIDENCE_VALIDATOR: PASS failures=0`.	evidence/W28D-440E5/current/final-evidence-validator.txt	final line exact PASS	/opt/iac/Development/cloud-dog-ai/cloud-dog-ai-platform-standards/scripts/final-evidence-validator.sh W28D-440E5 evidence/W28D-440E5/current /opt/iac/Development/cloud-dog-ai/index-retriever-mcp-server-w28d-440e4	PASS
`HAVE_ALL_REQUIREMENTS_BEEN_MET: YES` appears only after all evidence is complete.	evidence/W28D-440E5/current/FINAL-RETURN.md	YES appears in final close gate after validator/checksum/tag/test proof	grep -F 'HAVE_ALL_REQUIREMENTS_BEEN_MET: YES' evidence/W28D-440E5/current/FINAL-RETURN.md	PASS
Vault HDRO key exists without exposure	evidence/W28D-440E5/current/00-hdro-vault-preflight.md	hdro_key_present=True hdro_key_len=36 sha256_prefix=673b8c15	sed -n 1,80p evidence/W28D-440E5/current/00-hdro-vault-preflight.md	PASS
Canonical HDRO probe succeeds	evidence/W28D-440E5/current/00-hdro-vault-preflight.md	canonical_probe_status=200 canonical_probe_shape=list_len=36	grep canonical_probe evidence/W28D-440E5/current/00-hdro-vault-preflight.md	PASS
Maptiler Vault URL not used	evidence/W28D-440E5/current/endpoint-config-proof.md	selected_endpoint_host=hdrdata.org vault_url_used_as_hdro_endpoint=False	cat evidence/W28D-440E5/current/endpoint-config-proof.md	PASS
Extractor returns HDI/GII values	evidence/W28D-440E5/current/hdro-live-probe.json	record_count=10 raw_record_count=36 endpoint_host=hdrdata.org	python -m pytest tests/integration/IT_W28D440E5/test_hdro_live.py --env tests/env-IT -q	PASS
Unit coverage passes	evidence/W28D-440E5/current/ut.log	10 passed	python -m pytest tests/unit/UT_W28D440E5 tests/unit/UT1_40/test_ut1_40_tool_registry.py --env tests/env-UT -q	PASS
Service surface smoke passes	evidence/W28D-440E5/current/mcp-api-smoke.log	1 passed	python -m pytest tests/unit/UT_W28D440E5/test_hdro_extractor.py::test_hdro_extract_invokes_through_mcp_service_surface --env tests/env-UT -q	PASS
Source-hunt regression passes	evidence/W28D-440E5/current/source-hunt-regression.log	1 passed	python -m pytest tests/unit/UT_W28D440E5/test_hdro_extractor.py::test_w28d440e1_compact_source_hunt_regression_still_succeeds --env tests/env-UT -q	PASS
Secret scan clean	evidence/W28D-440E5/current/secret-redaction-proof.txt	raw_key_hits=0	cat evidence/W28D-440E5/current/secret-redaction-proof.txt	PASS
Docs requirements trace updated	docs/REQUIREMENTS.md docs/API-REFERENCE.md	tool count 93 includes W28D-440E5 hdro_extract	grep -n W28D-440E5 docs/REQUIREMENTS.md docs/API-REFERENCE.md	PASS
