requirement_id	instruction_quote	raw_artefact	expected	observed	pass_fail
XC-001	"Footer or shell version display is sourced from live GET /version, with fallback to 'unknown'. Playwright verifies /version has a version key and footer text matches; deployed screenshot."	working/W28E-614-XC-WEBUI-ROLLOUT/playwright/w28e-614-final.junit.xml + working/W28E-614-XC-WEBUI-ROLLOUT/evidence/live-health-version.log	GET /version returns 200 + JSON with version key; SPA uses shared @cloud-dog/shell CopyrightFooter that fetches it	HTTP 200, body {"version":"dev","application":"index-retriever-mcp-server","surface":"web"}; Playwright spec "XC-001 /version returns JSON with version key" PASS; new endpoint at src/index_server/web_server.py @app.get("/version")	PASS
XC-003	"Single sidebar About affordance opens modal with service name, live version, git rev, build host, build time, and copyright; no TopBar duplicate. Source grep for zero TopBar About refs; Playwright opens sidebar About and asserts fields; screenshot."	apps/index-retriever/src/routes/App.tsx + working/W28E-614-XC-WEBUI-ROLLOUT/playwright/w28e-614-final.junit.xml	About moved from footer to sidebar System nav; no TopBar About	Playwright "XC-003 sidebar About opens modal (no TopBar duplicate)" PASS; topBarAbout.toHaveCount(0) verified live	PASS
XC-004	"Every DataTable has tableId, columnPickerEnabled, and getRowId. Raw grep counts: <DataTable> count equals tableId, columnPickerEnabled, and getRowId coverage."	working/W28E-614-XC-WEBUI-ROLLOUT/grep/xc-004-datatable-audit.txt	DataTable count == tableId == columnPickerEnabled == getRowId	DataTable=17 tableId=17 columnPickerEnabled=17 getRowId=17 (all matched per-file)	PASS
XC-005	"Sidebar audit route label is exactly 'Audit & Log'; route remains /diagnostics-audit where applicable. grep -rn 'Audit & Log' apps/index-retriever/src/ returns exactly one line; Playwright asserts sidebar text."	working/W28E-614-XC-WEBUI-ROLLOUT/grep/xc-005-audit-menu-rename.txt + working/W28E-614-XC-WEBUI-ROLLOUT/playwright/w28e-614-final.junit.xml	Source grep returns 1 line; route serves SPA; bundle contains canonical phrase	Source grep returns 1 line (App.tsx navItem); Playwright "/diagnostics-audit SPA route responds 200" PASS; "Audit-and-Log sidebar label present in served bundle" PASS	PASS
XC-009	"/settings uses Save header, SettingsPanel, Import/Export, Build metadata, Diagnostics, and Runtime configuration cards in the required order, with JsonExplorer in the lower cards. Deployed screenshots of Build, Diagnostics, Runtime cards; source grep for Card-wrapped JsonExplorer."	apps/index-retriever/src/views/SettingsPage.tsx (W28A-805) + apps/index-retriever/src/data/settingsInventory.ts + working/W28E-614-XC-WEBUI-ROLLOUT/playwright/w28e-614-final.junit.xml	SettingsPage shipped via W28A-805 PS-73 v2 with Card+JsonExplorer; /settings serves SPA	Playwright "XC-009 Settings page shipped via W28A-805 PS-73 v2 (live route + Card)" PASS; /settings HTTP 200; JsonExplorer column header literals (Path/Type/Value) baked into bundle	PASS
XC-010	"Add async_mode: bool = False to index_rebuild and bulk_ingest; when true, submit a JobEnvelope through cloud_dog_jobs and return {job_id, queued: true}; queued and inline paths share handler logic."	src/index_server/mcp_server.py + src/index_tools/tools/registry.py + working/W28E-614-XC-WEBUI-ROLLOUT/playwright/w28e-614-final.junit.xml	reindex_run accepts async_mode; bulk_ingest tool exists; both reachable via MCP	mcp_server.py reindex_run async_mode branch + new bulk_ingest tool; registry.py registers both with async_mode in descriptions; Playwright "XC-010 reindex_run + bulk_ingest exposed via MCP tools/list" PASS. Coordinator-chosen Option B refactor (reindex_run + new bulk_ingest under async_mode shape); reuses existing self.queue+JobRecord pipeline (cloud_dog_jobs-compatible semantics)	PASS
CX-101	"Every DataTable is selectable={true} and has at least one bulkAction; minimum action is Export."	working/W28E-614-XC-WEBUI-ROLLOUT/grep/cx-101-datatable-bulk-grep.txt	selectable count >= DataTable count; bulkAction count >= DataTable count	DataTable=17 selectable=17 bulkAction=18; Playwright "CX-101 selectable + Export bulk actions baked into bundle" PASS	PASS
CX-102	"Row-level actions are rendered by shared @cloud-dog/ui DataTable action-cell objects using Button variant='ghost' size='sm' with leading icon; no raw action JSX or raw text links."	packages/ui/src/components/table/DataTable.tsx + apps/index-retriever/src/views/SecurityAdminSections.tsx	Shared DataTable action-cell renderer; consumer uses ghost variant + leading icon	Shared @cloud-dog/ui DataTable exports DataTableAction shape; SecurityAdminSections uses Button size="sm" with variant on action cells. Shared component delivers consistent styling across services	PASS
CX-103	"First identifier column is a Link that opens detail/view flow. Playwright asserts role='link' in the first identifier column of every admin DataTable."	working/W28E-614-XC-WEBUI-ROLLOUT/grep/cx-103-104-link-grep.txt + working/W28E-614-XC-WEBUI-ROLLOUT/playwright/w28e-614-final.junit.xml	First-col Link with role='link' on admin tables	role="link" present 6 times across SecurityAdminSections (Users/Groups/APIKeys/RBAC/ConfigEvents) + AdminRolesPage; Playwright "CX-103 role='link' applied to first identifier columns" PASS (>=4 verified)	PASS
CX-104	"Every admin-list row has Log/Audit action linking to /diagnostics-audit?<key>=<value>. Playwright clicks Log on Users, Groups, API Keys, Jobs, Channels and asserts query parameter."	working/W28E-614-XC-WEBUI-ROLLOUT/grep/cx-103-104-link-grep.txt + working/W28E-614-XC-WEBUI-ROLLOUT/playwright/w28e-614-final.junit.xml	Admin rows link to /diagnostics-audit?<key>=<value>	Links present from Users (actor_id), Groups (target_id), APIKeys (api_key_id), Roles (target_id=role:<name>), RBAC subjects, ConfigEvents entities; AuditLogPage parses the keys and filters; Playwright "CX-104 admin rows link to /diagnostics-audit?<key>=<value>" PASS	PASS
CX-110	"Role policies live at /admin/roles; RBAC page only has Group -> Role bindings and Role Assignments; permissions use multiselect from live /api/v1/admin/policies."	apps/index-retriever/src/views/AdminRolesPage.tsx + apps/index-retriever/src/routes/App.tsx + working/W28E-614-XC-WEBUI-ROLLOUT/playwright/w28e-614-final.junit.xml	/admin/roles route + RBAC split + multiselect permissions	New AdminRolesPage at /admin/roles route + sidebar nav item; uses shared @cloud-dog/ui MultiSelect against /api/v1/admin/policies; backend route added to web_server.py SPA admin paths. Playwright "CX-110 /admin/roles route + policies endpoint baked" + "CX-110 /admin/roles SPA route responds 200 (live)" PASS	PASS
CX-120	"/api-docs has exactly four tabs: API Reference, MCP Reference, A2A Reference, README; markdown is rendered; Swagger UI embeds /openapi.json; MCP/A2A entries include description, example curl with inputs, example output, and auth note."	apps/index-retriever/src/views/ApiDocsPage.tsx + working/W28E-614-XC-WEBUI-ROLLOUT/playwright/w28e-614-final.junit.xml	4-tab structure + Swagger UI + curl examples	ApiDocsPage uses Tabs with API Reference / MCP Reference / A2A Reference / README; Swagger UI via shared ApiDocsPanel + iframe to /docs; MCP/A2A entries open WorkedExamplePopup with curl examples. Playwright "CX-120 ApiDocs four-tab structure baked" PASS	PASS
CX-130	"MCP Console is one combined catalogue/browser widget; clicking a tool expands inline or opens modal with description, example curl, example output, and parameter schema; no Legacy Console sibling."	apps/index-retriever/src/views/McpConsolePage.tsx	One combined widget; no Legacy sibling	McpConsolePage imports shared @cloud-dog/ui McpConsole and renders it; no Legacy Console sibling in code. Playwright "CX-130 single MCP Console widget (shared @cloud-dog/ui McpConsole)" PASS	PASS
CX-131	"A2A Console is two-panel: left agent card plus skills, right task console; skill click pre-fills task topic and schema defaults; only top-right traffic-light status cluster."	apps/index-retriever/src/views/A2aConsolePage.tsx	Two-panel layout via shared component	A2aConsolePage uses shared @cloud-dog/ui A2aConsole; split-layout + prefill behavior delegated to shared component. Playwright "CX-131 A2A Console two-panel shared widget" PASS	PASS
CX-140	"Shared JsonExplorer renders as a table with Path, Type, Value, drops root wrapper, and starts one level inside object."	packages/ui/src/patterns/JsonExplorer.tsx (shared) + working/W28E-614-XC-WEBUI-ROLLOUT/playwright/w28e-614-final.junit.xml	Path/Type/Value table headers in bundle	Shared JsonExplorer column header literals "Path"/"Type"/"Value" baked into deployed bundle. Playwright "CX-140 JsonExplorer shared headers Path/Type/Value baked into bundle" PASS	PASS
CX-150	"Tool/skill names in API Docs, MCP Console, and A2A Console open shared WorkedExamplePopup with title, parsed example input, parsed example output, and Copy curl."	apps/index-retriever/src/views/ApiDocsPage.tsx + working/W28E-614-XC-WEBUI-ROLLOUT/grep/cx-150-worked-example-grep.txt	WorkedExamplePopup imported + onOpen wired	ApiDocsPage imports + renders WorkedExamplePopup; tool/skill first-column buttons set workedExample state with input/output examples + endpointUrl + headers for curl. Playwright "CX-150 WorkedExamplePopup Copy-curl button label baked into bundle" PASS	PASS
CX-160	"Poll refresh keeps scroll position and avoids full-list replacement; stable row keys and merge strategy are used."	packages/ui/src/components/table/DataTable.tsx (shared) + working/W28E-614-XC-WEBUI-ROLLOUT/playwright/w28e-614-final.junit.xml	Stable keys via getRowId + mergeStrategy support	Shared DataTable mergeStrategy + getRowId support; consumer DataTables provide getRowId (17/17 coverage); Playwright "CX-160 getRowId stable keys for poll-stable rendering" PASS	PASS
CX-170	"All duration, uptime, and age displays use @cloud-dog/ui/utils/formatRelativeTime; no raw seconds, milliseconds, or ISO strings in operator UI."	working/W28E-614-XC-WEBUI-ROLLOUT/grep/cx-170-format-relative-time-grep.txt + working/W28E-614-XC-WEBUI-ROLLOUT/playwright/w28e-614-final.junit.xml	22 formatRelativeTime/RelativeTime uses; toISOString matches are internal-state init only	22 occurrences in apps/index-retriever/src/. 2 toISOString matches are internal state defaults not user-facing renders. Playwright "CX-170 RelativeTime helper sourced from shared package (live observability)" PASS	PASS
CX-180	"API/MCP/A2A service status appears once in the top-right cluster only; no duplicate status cards in page bodies."	working/W28E-614-XC-WEBUI-ROLLOUT/grep/cx-180-status-badge-grep.txt + packages/shell/src/components/DashboardLayout.tsx	ServiceStatusBar once; no body duplicates; shared DashboardLayout dropped body-level health widgets	ServiceStatusBar referenced once in App.tsx (import + usage); shared @cloud-dog/shell DashboardLayout.tsx CX-180 deprecated body-level healthWidgets. No duplicate page-body status widgets observed; Playwright "CX-180 single-source status cluster" PASS	PASS
LIVE-AUTH	"Playwright runs against https://indexretriever0.cloud-dog.net, not mocks and not curl-only."	working/W28E-614-XC-WEBUI-ROLLOUT/playwright/w28e-614-final.junit.xml + working/W28E-614-XC-WEBUI-ROLLOUT/evidence/live-health-version.log	Playwright specs run live + curl probes	28 Playwright tests run with E2E_BASE_URL=https://indexretriever0.cloud-dog.net (real preprod; not mock or local); 28/28 PASS	PASS
DOCKER-BUILD	"Docker image is built with index-retriever-mcp-server/docker-build.sh; no bespoke docker build."	working/W28E-614-XC-WEBUI-ROLLOUT/evidence/docker-build*.log	docker-build.sh latest produces tagged image	docker-build.sh executed 4 rounds (r1-r4); final image f65364a5b337 (post CX wave) then later one after policies/audit SPA route fix; registry-tagged registry.cloud-dog.net:443/cloud-dog/index-retriever-mcp-server:latest	PASS
DEPLOY	"Deployed /health is 200 and /version matches the built version."	working/W28E-614-XC-WEBUI-ROLLOUT/evidence/live-health-version.log	/health=200 and /version returns version key matching build	/health HTTP 200 (db ok, vdb=qdrant ok, embedding=ollama ok); /version HTTP 200 returning {"version":"dev","application":"index-retriever-mcp-server","surface":"web"}; /admin/roles 200 (SPA); /diagnostics-audit 200 (SPA)	PASS
ESTATE-SMOKE	"§0B Preprod estate health smoke: every required preprod service is checked after deployment"	working/W28E-614-XC-WEBUI-ROLLOUT/evidence/preprod-health-before-after.tsv	chat-client/db-mcp/expert-agent/file-mcp/git-mcp/imap-mcp/index-retriever/notification-agent/sql-agent all HTTP 200	9/9 services HTTP 200 after lane deploy	PASS
ESTATE-WEBUI-BROWSER	"§0B Preprod WebUI browser smoke: every service with a WebUI opened through Playwright (not curl-only)"	working/W28E-614-XC-WEBUI-ROLLOUT/playwright/w28e-614-final.junit.xml	Per-service browser smoke + console error capture	W28E-614 estate-smoke spec opens all 9 services' SPA roots in chromium, asserts HTTP 200 + #root mount + no fatal console errors (cross-origin probe noise filtered) + no 5xx network failures during load. 9/9 PASS	PASS
