requirement	raw_artefact	raw_value_observed	verification_command	pass_fail
Authed Playwright: 5 /idam/* pages screenshot showing real rows	screenshots/idam-users.png idam-groups.png idam-api-keys.png idam-roles.png idam-rbac.png + w28a734r3-idam-5page-trace.zip	5 pages render real data (Users 3 rows; Groups 2; API-Keys empty-state+Generate; Roles admin->* user->resources:read; RBAC 2 bindings)	browser-driven @playwright/test live vs indexretriever0; coordinator views each PNG	PASS
idam/users renders (PS-71 IW1 cols + Add User)	screenshots/idam-users.png	heading Users; cols username/display_name/role/groups/enabled/last_login/created; 3 rows; +Add User	playwright reverify spec page1	PASS
idam/groups renders (PS-71 IW2)	screenshots/idam-groups.png	heading Groups; cols name/description/member_count/rbac_binding_count; 2 rows; +Add Group	playwright reverify spec page2	PASS
idam/api-keys renders (PS-71 IW3)	screenshots/idam-api-keys.png	heading API Keys; 7 cols; +Generate API Key; legitimate empty state Total Records 0	playwright reverify spec page3	PASS
idam/roles renders shared IdamRolesPage (PS-71 IW3A)	screenshots/idam-roles.png	heading Roles; cols name/description/permissions/created; admin->* and user->resources:read rows; +Add Role	playwright reverify spec page4	PASS
idam/rbac renders (PS-71 IW5)	screenshots/idam-rbac.png	heading RBAC; cols subject/resource/permission/granted_by/granted_at; 2 bindings; View-by Flat; +Add Binding	playwright reverify spec page5	PASS
Clean-context Playwright: unauth login-gate screenshot (/auth/me=401)	screenshots/unauth-login-gate.png + w28a734r3-negative-auth-trace.zip + preprod-unauth-negative-auth.tsv	clean context lands on Sign in form (not app); /auth/me 401 NOT-admin; no Users nav	browser-driven @playwright/test clean context	PASS
0C point-5 unauth negative-auth proof (principal+data routes denied; login gate; no key injection)	preprod-unauth-negative-auth.tsv	/auth/me 401; /api/v1/admin/users 401; /api/config 401; WebUI login gate; proxy injects key no	curl + playwright clean context	PASS
6 screenshots committed + screenshot-manifest.tsv; each sha unique to this lane	screenshot-manifest.tsv + CHECKSUMS.sha256	6 PNGs; 6 distinct sha256; all differ from prior-lane (W28A-734-R2) shas	md5sum uniq -d (none) + sha256 vs R2 manifest	PASS
Re-run the index-retriever IDAM render PW suite	preprod-webui-smoke/w28a734r3-junit.xml + 2 trace.zip	tests=2 failures=0 skipped=0; 2 trace.zip	playwright test (reverify spec)	PASS
Deployed-identity tie: running digest == origin/main	preprod-deployed-identity.tsv	running RepoDigest sha256:0f7c5151... = origin/main 4dc5101-built image; bundle index-CBjiSmP2.js	docker -H tcp://server0:2375 inspect + curl /	PASS
Estate no-regression (no deploy/mutation by this lane)	preprod-estate-sentinels.tsv	9/9 services /health 200	curl https://<svc>.cloud-dog.net/health	PASS
FINAL_EVIDENCE_VALIDATOR PASS failures=0	final-evidence-validator.txt	FINAL_EVIDENCE_VALIDATOR PASS failures=0	scripts/final-evidence-validator.sh	PASS
Two-anchor tags on origin/main	remote-proof.txt + FINAL-TAG-VERIFICATION.txt	EVIDENCE_TAG + FINAL_PROOF_TAG pushed; FINAL_PROOF_TAG ancestor of origin/main	git ls-remote origin refs/tags + merge-base --is-ancestor	PASS
Scope: RE-VERIFY only, no code change, no redeploy	touched-paths-manifest.tsv	only working/evidence/W28A-734-R3/ touched; no src/ or deploy change	git status --short -- (scoped)	PASS
