requirement	raw_artefact	raw_value_observed	verification_command	status
GATE0 mandatory reading warrant	00-reading-proof.md	8 files re-read this session with SHA256(12)+3 rule-ids	cat 00-reading-proof.md	PASS
b-3 traceability matrix (use-cases verbatim incl cascade)	docs/ROLES-AND-USECASES.md + working/w28a-749/B3-INDEX-RETRIEVER-MATRIX.md	17 rows incl bolded T3-IR-CASCADE; entities DISJOINT; roles reconciled	git show origin/main:docs/ROLES-AND-USECASES.md	PASS
b-5 UI justification (no orphan page; parity)	working/w28a-749/B5-UI-JUSTIFICATION.md + ROLES-AND-USECASES.md s5	18/18 SPA routes mapped, 0 orphan, strict API client	git show origin/main:docs/ROLES-AND-USECASES.md	PASS
b-7 canonical 6-doc set + tool-count 92	docs/{REQUIREMENTS,ROLES-AND-USECASES,ARCHITECTURE,API,DATA-MODEL,TESTS}.md	canonical set present; FR-16A/§7.7 reconciled to 92; 9 docs archived	ls docs/; grep -c 92 docs/REQUIREMENTS.md	PASS
tool inventory == runtime 92	tests/unit/UT1_40 + registry	runtime registry build = 92 unique; UT1_40 asserts ==92	pytest tests/unit/UT1_40	PASS
b-4 T0/T1/T2 access-control live (0.4.x-independent)	working/evidence/W28A-749/t0t3-st.log	9 passed (anon->401 per surface; A2A 401/200; RBAC-by-role)	pytest tests/smoke/access_control_matrix_smoke.py --env tests/env-ST	PASS
G1 zero os.environ.get in src (§1.4.1)	grep scan	0 violations across src/	grep -rnE "os.environ.get|os.environ\[|os.getenv" src/	PASS
G3 unit-tier regression under idam 0.5.x	working/evidence/W28A-749/ut-regression.log	212 passed 0 failed	pytest tests/unit --env tests/env-UT	PASS
G4 keystone resolves from normal internal index	working/w28a-749/g4-docker-build.log	Build OK; cloud_dog_idam>=0.5.1 resolved (no No-matching-distribution)	bash docker-build.sh w28a-749 --variant dev	PASS
G5 built image carries resolver/guard symbols	working/evidence/W28A-749/g5-in-image-symbol-proof.log	cloud-dog-idam 0.5.2; grants/membership/guard_registry/secret_masking import; IN-IMAGE CASCADE PROOF PASS	docker run --entrypoint python IMG -c cascade_symbol_report	PASS
G6 source on origin/main + image pushed	remote-proof.txt	origin/main=5cba8eb (ancestor); registry digest sha256:02c322e26c62	git ls-remote origin main; docker push	PASS
G7 targeted terraform deploy (indexretriever only)	working/evidence/W28A-749/preprod-deployed-identity.txt	Apply complete 2 add 0 change 2 destroy; container Up healthy image 1179163c0480	terraform apply -target=docker_container.indexretriever0	PASS
G8 live health + api-docs + stability	working/evidence/W28A-749/g8-estate-health.txt + g8-stability.log	/health 200 /api-docs 200; 60s stability all 200	curl -sk https://indexretriever0.cloud-dog.net/health	PASS
G8 LIVE T3-IR-CASCADE on indexretriever0	working/evidence/W28A-749/g8-live-cascade.txt	read C 403->add->200/D 403/write 403->remove->403 (live resolve+revoke)	curl live cascade sequence	PASS
G8 browser smoke target + 4 sentinels	working/evidence/W28A-749/g8-browser-smoke.log	BROWSER-SMOKE PASS 5/5 SPA mounted 0 pageerror 0 failed asset	node browser-smoke.js	PASS
no estate regression	working/evidence/W28A-749/g8-estate-health.txt	9/9 services /health 200	for h in ...; curl /health	PASS
