requirement_id	name	artefact_path	observed_value	verification_command	status
P1.formats	.xlsx/.xlsm/.ods ingestion (§5.1/§21)	raw/vdb-UT4.4-parse.log	7 passed (xlsx+ods parsers; xlsb/xls out-of-Phase1)	grep "passed" raw/vdb-UT4.4-parse.log	PASS
P1.granularity	workbook/sheet/table/column/row-batch indexing (§21)	raw/vdb-UT4.5-pipeline.log	14 passed; object_count_by_type covers all 5 types	grep "passed" raw/vdb-UT4.5-pipeline.log	PASS
P1.sql	SQL metadata via SQLAlchemy/cloud_dog_db (§14)	raw/ir-UT1_70-spreadsheet.log	13 passed; 9 ss_* tables created by migration	grep "passed" raw/ir-UT1_70-spreadsheet.log	PASS
P1.adapters	Chroma/Qdrant/Weaviate/OpenSearch/pgvector adapters (§21/§15)	raw/vdb-UT4.10-matrix.log	45 passed; cloud_dog_vdb adapters reused	grep "passed" raw/vdb-UT4.10-matrix.log	PASS
P1.sqlbackends	SQLite/MariaDB/PostgreSQL metadata (§14.1)	raw/ir-UT1_70-spreadsheet.log	portable cloud_dog_db models; SQLite exercised live	grep "migration_creates_control_plane" raw/ir-UT1_70-spreadsheet.log	PASS
P1.hidden	hidden sheet flag handling (§5.2/§5.3)	raw/vdb-UT4.4-parse.log	test_parse_hidden_sheet_visibility PASSED	grep "hidden_sheet" raw/vdb-UT4.4-parse.log	PASS
P1.formaltable	formal Excel table extraction (§5.4)	raw/vdb-UT4.5-pipeline.log	test_simple_object_counts_and_types PASSED (tbl_sales formal A1:D4)	grep "object_counts" raw/vdb-UT4.5-pipeline.log	PASS
P1.inferred	inferred region detection v1 (§5.5/§12)	raw/vdb-UT4.3-detect.log	5 passed; dataset/report_grid/notes/decorative	grep "passed" raw/vdb-UT4.3-detect.log	PASS
P2.formula	formula extraction + metric/kind summaries (§5.8)	raw/vdb-UT4.8-phase2.log	test_formula_records_emitted + classify families PASSED	grep "formula" raw/vdb-UT4.8-phase2.log	PASS
P2.pivot	pivot extraction + summaries (§5.9)	raw/vdb-UT4.8-phase2.log	test_pivot_from_openpyxl_definition + pipeline emission PASSED	grep "pivot" raw/vdb-UT4.8-phase2.log	PASS
P2.query	structured extraction query API (§5.17)	raw/vdb-UT4.8-phase2.log	test_ss_query.py PASSED (table/columns/rows/where/named_range/object_type)	grep "query" raw/vdb-UT4.8-phase2.log	PASS
P2.formats	JSON/JSONL/Parquet/CSV outputs (§5.16)	raw/vdb-UT4.8-phase2.log	test_ss_formats.py PASSED incl parquet roundtrip	grep "formats" raw/vdb-UT4.8-phase2.log	PASS
P2.classification	improved region classification (§12.2)	raw/vdb-UT4.3-detect.log	report_grid/notes/decorative tests PASSED	grep "report_grid" raw/vdb-UT4.3-detect.log	PASS
P2.profiling	richer column profiling (§5.6)	raw/vdb-UT4.2-profile.log	5 passed; numeric_min/max/mean + sample/distinct/null	grep "passed" raw/vdb-UT4.2-profile.log	PASS
P2.incremental	incremental re-index optimisation (§5.14)	raw/ir-UT1_70-spreadsheet.log	test_reindex_same_content_deletes_nothing PASSED (upserted=0)	grep "reindex_same" raw/ir-UT1_70-spreadsheet.log	PASS
P3.hybrid	hybrid retrieval tuning (§16)	raw/vdb-UT4.9-phase3.log	test_ss_retrieval.py PASSED (hybrid+lexical hints)	grep "retrieval" raw/vdb-UT4.9-phase3.log	PASS
