path	status	purpose
src/index_tools/structure/__init__.py	NEW	Structure subsystem package exports (model, service, repository)
src/index_tools/structure/ids.py	NEW	Deterministic structure IDs (brief §8.2)
src/index_tools/structure/models.py	NEW	Canonical document-structure pydantic model + SCHEMA_VERSION (brief §6)
src/index_tools/structure/repository.py	NEW	cloud_dog_db-routed persistence repository (brief §7.1)
src/index_tools/structure/service.py	NEW	Transport-neutral StructureService (brief §22/§23)
src/index_tools/db/structure_models.py	NEW	9 ORM tables (PlatformBase+TimestampMixin, JSON payload)
database/migrations/cloud_dog_db/versions/20260604_0002_structure_foundation.py	NEW	Alembic migration (down_revision=20260305_0001); git add -f (database/ gitignored)
tests/unit/UT_W28E603_Structure/test_ut_w28e603_structure.py	NEW	Unit tests: model/ids/persistence/service (12 tests)
tests/integration/IT_W28E603_StructureTransports/test_it_w28e603_structure_transports.py	NEW	Transport tests: REST CRUD + MCP tools/call + tools/list (4 tests)
tests/system/ST_W28E603_StructureBackendMatrix/test_st_w28e603_structure_backend_matrix.py	NEW	Backend-matrix smoke: sqlite + postgres/mysql skip-when-unconfigured
src/index_tools/db/__init__.py	MODIFIED	Export + register structure ORM row classes
src/index_tools/tools/registry.py	MODIFIED	Register 8 structure_* ToolSpecs
src/index_tools/tools/service.py	MODIFIED	Lazy IndexService.structure property (cached, shares audit logger)
src/index_server/mcp_server.py	MODIFIED	structure tool permission rows + execute_tool dispatch cases
src/index_server/api_server.py	MODIFIED	8 structure handlers + route registrations under /api/v1/structure
tests/unit/UT1_40/test_ut1_40_tool_registry.py	MODIFIED	Tool count 69->77 + assert structure family present
docs/MCP_DOCUMENTATION.md	MODIFIED	Catalogue rebuilt to 77 tools (incl structure family); inventory size 77
docs/REQUIREMENTS.md	MODIFIED	FR-16A registered tool count 60->77
docs/TESTS.md	MODIFIED	FR-16A coverage note 60->77-tool enforcement
working/evidence/W28E-603-phase1/*	NEW	Evidence pack (working/ gitignored; git add -f)
