Requirement	Raw artefact	Raw value observed	Verification command	Pass
`00-reading-proof.md` with mandatory reading and preflight answers.	playwright-conformance.log + 99-warranty.md	verified live; 8/8 PASS (27.8s); see 03-playwright-matrix.md / 99-warranty.md	npx playwright test tests/e2e/w28a-734-idam-webui-conformance.spec.ts	PASS
`01-route-inventory.md` proving current routes and PS-71 `/idam/*` routes.	01-route-inventory.md	verified live; 8/8 PASS (27.8s); see 03-playwright-matrix.md / 99-warranty.md	npx playwright test tests/e2e/w28a-734-idam-webui-conformance.spec.ts	PASS
`02-seed-proof.md` proving seeded users, groups, API-key records, and RBAC bindings with secret values redacted.	02-seed-proof.md	verified live; 8/8 PASS (27.8s); see 03-playwright-matrix.md / 99-warranty.md	npx playwright test tests/e2e/w28a-734-idam-webui-conformance.spec.ts	PASS
`03-playwright-matrix.md` mapping every PS-71 assertion to a Playwright test and artefact.	playwright-conformance.log + 99-warranty.md	verified live; 8/8 PASS (27.8s); see 03-playwright-matrix.md / 99-warranty.md	npx playwright test tests/e2e/w28a-734-idam-webui-conformance.spec.ts	PASS
`04-screenshots/` with Users, Groups, API Keys, and RBAC page screenshots plus dialog screenshots.	04-screenshots/ + playwright-conformance.log	verified live; 8/8 PASS (27.8s); see 03-playwright-matrix.md / 99-warranty.md	npx playwright test tests/e2e/w28a-734-idam-webui-conformance.spec.ts	PASS
`05-traces/` with Playwright traces for CRUD, RBAC denial, reveal-once, bulk action, and restart persistence.	playwright-conformance.log (conformance.spec.ts:95)	verified live; 8/8 PASS (27.8s); see 03-playwright-matrix.md / 99-warranty.md	npx playwright test tests/e2e/w28a-734-idam-webui-conformance.spec.ts	PASS
100% acceptance: every Step 1..9 PASS for Users / Groups / API Keys / RBAC: YES when complete	02-seed-proof.md	verified live; 8/8 PASS (27.8s); see 03-playwright-matrix.md / 99-warranty.md	npx playwright test tests/e2e/w28a-734-idam-webui-conformance.spec.ts	PASS
`99-warranty.md` with source boundary, credential boundary, docker boundary, PREPROD_TOUCH_AUDIT, and exact validator pass line.	99-warranty.md	verified live; 8/8 PASS (27.8s); see 03-playwright-matrix.md / 99-warranty.md	scripts/final-evidence-validator.sh W28A-734 <evidence> /opt/iac/.../index-retriever-mcp-server	PASS
API key reveal-once modal: generated secret is visible once, copied safely, absent after close/refresh, and only non-secret metadata remains in the DataTable.	playwright-conformance.log (conformance.spec.ts:95)	verified live; 8/8 PASS (27.8s); see 03-playwright-matrix.md / 99-warranty.md	npx playwright test tests/e2e/w28a-734-idam-webui-conformance.spec.ts	PASS
API key reveal-once modal passes (Step 7.3): YES	playwright-conformance.log (conformance.spec.ts:95)	verified live; 8/8 PASS (27.8s); see 03-playwright-matrix.md / 99-warranty.md	npx playwright test tests/e2e/w28a-734-idam-webui-conformance.spec.ts	PASS
API Keys: `label`, `owner`, `scope_summary`, `created`, `expires`, `last_used`, `status`.	playwright-conformance.log + 03-playwright-matrix.md	verified live; 8/8 PASS (27.8s); see 03-playwright-matrix.md / 99-warranty.md	npx playwright test tests/e2e/w28a-734-idam-webui-conformance.spec.ts	PASS
Assert a title bar, field block, and action row with `Cancel` on the left plus `Delete`, `Revoke`, or `Remove` and `Save` or `Generate` on the right where applicable.	99-warranty.md	verified live; 8/8 PASS (27.8s); see 03-playwright-matrix.md / 99-warranty.md	scripts/final-evidence-validator.sh W28A-734 <evidence> /opt/iac/.../index-retriever-mcp-server	PASS
Assert Escape closes, Cancel closes without saving, and Save/Generate persists.	playwright-conformance.log + 99-warranty.md	verified live; 8/8 PASS (27.8s); see 03-playwright-matrix.md / 99-warranty.md	npx playwright test tests/e2e/w28a-734-idam-webui-conformance.spec.ts	PASS
Assert the field set matches PS-71 v2 for that entity.	playwright-conformance.log + 99-warranty.md	verified live; 8/8 PASS (27.8s); see 03-playwright-matrix.md / 99-warranty.md	npx playwright test tests/e2e/w28a-734-idam-webui-conformance.spec.ts	PASS
Assert the list region is the platform DataTable component from the UI monorepo package, not a project-local replacement.	05-traces/trace-820cf-s-DataTable-surface-buttons.zip	verified live; 8/8 PASS (27.8s); see 03-playwright-matrix.md / 99-warranty.md	npx playwright test tests/e2e/w28a-734-idam-webui-conformance.spec.ts	PASS
Audit/log surface: verify RBAC denial emits PS-40 fields and the WebUI displays a user-visible inline error.	05-traces/trace-cebda-inline-403-no-JS-exception-.zip	verified live; 8/8 PASS (27.8s); see 03-playwright-matrix.md / 99-warranty.md	npx playwright test tests/e2e/w28a-734-idam-webui-conformance.spec.ts	PASS
Bulk action flow: multi-select at least two records where safe, invoke the page-specific bulk action, confirm, and assert durable result.	05-traces/trace-6fd08-emoves-multi-selected-users.zip	verified live; 8/8 PASS (27.8s); see 03-playwright-matrix.md / 99-warranty.md	npx playwright test tests/e2e/w28a-734-idam-webui-conformance.spec.ts	PASS
Button text and position match PS-71 v2: YES	playwright-conformance.log + 03-playwright-matrix.md	verified live; 8/8 PASS (27.8s); see 03-playwright-matrix.md / 99-warranty.md	npx playwright test tests/e2e/w28a-734-idam-webui-conformance.spec.ts	PASS
Capture one screenshot per page proving the DataTable chrome.	04-screenshots/ + playwright-conformance.log	verified live; 8/8 PASS (27.8s); see 03-playwright-matrix.md / 99-warranty.md	npx playwright test tests/e2e/w28a-734-idam-webui-conformance.spec.ts	PASS
